"conc","replicate","offspring"
0,1,104
0,2,104
0,3,118
0,4,136
0,5,64
0,6,103
0,7,84
0,8,118
0,9,95
0,10,122
0.1,1,107
0.1,2,106
0.1,3,95
0.1,4,77
0.1,5,77
0.1,6,62
0.1,7,66
0.1,8,66
0.1,9,78
0.1,10,66
0.2,1,58
0.2,2,80
0.2,3,61
0.2,4,75
0.2,5,97
0.2,6,69
0.2,7,66
0.2,8,66
0.2,9,72
0.2,10,83
0.4,1,33
0.4,2,32
0.4,3,44
0.4,4,34
0.4,5,33
0.4,6,64
0.4,7,59
0.4,8,32
0.4,9,29
0.4,10,71
0.8,1,28
0.8,2,27
0.8,3,26
0.8,4,18
0.8,5,15
0.8,6,23
0.8,7,33
0.8,8,14
0.8,9,25
0.8,10,21
1.6,1,2
1.6,2,4
1.6,3,4
1.6,4,9
1.6,5,5
1.6,6,10
1.6,7,4
1.6,8,7
1.6,9,5
1.6,10,10
3.2,1,3
3.2,2,2
3.2,3,2
3.2,4,3
3.2,5,2
3.2,6,1
3.2,7,1
3.2,8,1
3.2,9,3
3.2,10,0
