"conc","replicate","total","alive"
0,1,10,10
0,2,10,10
0,3,10,10
0,4,10,10
52.9221494013446,1,10,10
52.9221494013446,2,10,10
52.9221494013446,3,10,10
52.9221494013446,4,10,10
95.2598689224204,1,10,9
95.2598689224204,2,10,8
95.2598689224204,3,10,9
95.2598689224204,4,10,9
171.467764060357,1,10,6
171.467764060357,2,10,5
171.467764060357,3,10,5
171.467764060357,4,10,7
308.641975308642,1,10,1
308.641975308642,2,10,1
308.641975308642,3,10,2
308.641975308642,4,10,3
555.555555555556,1,10,1
555.555555555556,2,10,1
555.555555555556,3,10,0
555.555555555556,4,10,0
1000,1,10,0
1000,2,10,0
1000,3,10,1
1000,4,10,0
